order_id,customer_id,restaurant_id,order_time,delivery_time,status,delivery_duration,payment_method,total_amount
ORD000021,CUST01842,REST0179,2025-01-05 21:39:00,2025-01-05 21:13:00,Delivered,26,UPI,310
ORD000022,CUST06064,REST0155,2024-03-19 14:06:00,2024-03-19 13:26:00,Delivered,40,UPI,312
ORD000023,CUST08548,REST0107,2024-01-11 22:42:00,2024-01-11 21:42:00,Delivered,60,UPI,759
ORD000024,CUST05693,REST0127,2025-05-10 22:58:00,2025-05-10 22:38:00,Delivered,20,Debit Card,555
ORD000025,CUST09731,REST0061,2025-09-12 11:53:00,2025-09-12 11:01:00,Delivered,52,UPI,172
ORD000026,CUST01677,REST0073,2024-01-31 13:42:00,2024-01-31 13:14:00,Delivered,28,UPI,813
ORD000027,CUST08737,REST0131,2025-12-26 20:09:00,2025-12-26 19:18:00,Delivered,51,Wallet,183
ORD000028,CUST02593,REST0054,2024-06-26 13:31:00,2024-06-26 12:54:00,Preparing,37,UPI,512
ORD000029,CUST07956,REST0056,2024-06-18 21:33:00,2024-06-18 20:46:00,Delivered,47,UPI,282
ORD000030,CUST06970,REST0057,2025-09-29 12:56:00,2025-09-29 12:24:00,Delivered,32,UPI,570
ORD000031,CUST08365,REST0116,2024-06-20 21:29:00,2024-06-20 20:32:00,Delivered,57,Credit Card,476
ORD000032,CUST08380,REST0131,2025-02-11 11:51:00,2025-02-11 11:11:00,Delivered,40,UPI,122
ORD000033,CUST07040,REST0053,2025-11-03 14:49:00,2025-11-03 14:09:00,Delivered,40,UPI,291
ORD000034,CUST06693,REST0053,2025-04-21 19:54:00,2025-04-21 19:20:00,Delivered,34,UPI,187
ORD000035,CUST01749,REST0169,2024-08-10 13:15:00,2024-08-10 12:17:00,Cancelled,58,Debit Card,289
ORD000036,CUST01624,REST0144,2025-11-29 21:00:00,2025-11-29 20:20:00,Delivered,40,UPI,59
ORD000037,CUST01184,REST0041,2024-10-08 14:37:00,2024-10-08 14:07:00,Delivered,30,Credit Card,1053
ORD000038,CUST05427,REST0076,2024-10-18 11:46:00,2024-10-18 10:50:00,Preparing,56,Cash,348
ORD000039,CUST05270,REST0186,2025-02-16 12:27:00,2025-02-16 11:34:00,Delivered,53,Credit Card,636
ORD000040,CUST05040,REST0044,2025-03-01 20:59:00,2025-03-01 20:17:00,Delivered,42,Credit Card,750
ORD000041,CUST02487,REST0149,2024-02-18 15:35:00,2024-02-18 14:44:00,Delivered,51,Wallet,294
ORD000042,CUST00635,REST0030,2024-01-30 14:20:00,2024-01-30 13:52:00,Delivered,28,UPI,386
ORD000043,CUST09946,REST0067,2024-06-23 13:29:00,2024-06-23 12:46:00,Delivered,43,UPI,260
ORD000044,CUST09281,REST0099,2024-02-14 12:55:00,2024-02-14 12:19:00,Delivered,36,Credit Card,286
ORD000045,CUST04049,REST0098,2025-12-16 12:57:00,2025-12-16 12:08:00,Delivered,49,UPI,166
ORD000046,CUST07514,REST0164,2025-10-14 19:00:00,2025-10-14 18:07:00,Delivered,53,UPI,174
ORD000047,CUST08400,REST0122,2025-05-09 13:54:00,2025-05-09 13:16:00,Delivered,38,UPI,120
ORD000048,CUST08653,REST0136,2025-10-24 20:37:00,2025-10-24 20:13:00,Delivered,24,UPI,82
ORD000049,CUST08933,REST0073,2025-04-24 20:38:00,2025-04-24 20:12:00,Delivered,26,Debit Card,855
ORD000050,CUST07189,REST0143,2024-11-16 21:08:00,2024-11-16 20:19:00,Delivered,49,Cash,253
ORD000051,CUST09906,REST0092,2025-01-07 15:27:00,2025-01-07 14:28:00,Delivered,59,Debit Card,208
ORD000052,CUST03366,REST0111,2025-03-09 13:15:00,2025-03-09 12:19:00,Delivered,56,UPI,537
ORD000053,CUST04780,REST0151,2024-04-22 14:28:00,2024-04-22 13:57:00,Delivered,31,UPI,576
ORD000054,CUST02894,REST0127,2024-09-28 13:17:00,2024-09-28 12:35:00,Delivered,42,UPI,261
ORD000055,CUST06617,REST0129,2024-02-24 18:46:00,2024-02-24 18:23:00,Delivered,23,Debit Card,720
ORD000056,CUST04003,REST0121,2024-07-12 15:31:00,2024-07-12 14:38:00,Delivered,53,UPI,193
ORD000057,CUST01380,REST0155,2024-09-11 21:37:00,2024-09-11 21:14:00,Delivered,23,Credit Card,867
ORD000058,CUST09305,REST0169,2024-04-13 14:41:00,2024-04-13 13:56:00,Delivered,45,UPI,185
ORD000059,CUST05325,REST0182,2024-07-29 13:13:00,2024-07-29 12:13:00,Delivered,60,Credit Card,468
ORD000060,CUST05910,REST0030,2024-07-08 19:34:00,2024-07-08 18:44:00,Delivered,50,Cash,134
ORD000061,CUST01266,REST0049,2024-11-18 19:51:00,2024-11-18 19:10:00,Delivered,41,UPI,83
ORD000062,CUST05049,REST0147,2024-12-08 11:40:00,2024-12-08 11:16:00,Delivered,24,Debit Card,285
ORD000063,CUST07844,REST0131,2025-04-30 20:06:00,2025-04-30 19:31:00,Delivered,35,UPI,297
ORD000064,CUST02694,REST0106,2024-08-21 18:39:00,2024-08-21 18:10:00,Delivered,29,UPI,368
ORD000065,CUST04493,REST0116,2025-05-17 21:25:00,2025-05-17 20:34:00,Delivered,51,UPI,150
ORD000066,CUST09283,REST0121,2025-12-28 14:31:00,2025-12-28 13:33:00,Delivered,58,UPI,286
ORD000067,CUST02307,REST0040,2025-02-24 21:24:00,2025-02-24 20:42:00,Delivered,42,UPI,447
ORD000068,CUST05700,REST0086,2024-07-30 20:56:00,2024-07-30 20:12:00,Delivered,44,Wallet,951
ORD000069,CUST09983,REST0189,2025-04-05 23:27:00,2025-04-05 22:56:00,Delivered,31,Credit Card,66
ORD000070,CUST00772,REST0170,2025-08-26 14:49:00,2025-08-26 14:17:00,Delivered,32,UPI,870
ORD000071,CUST05578,REST0128,2025-04-10 20:32:00,2025-04-10 19:50:00,Delivered,42,Wallet,648
ORD000072,CUST08088,REST0168,2025-11-28 13:13:00,2025-11-28 12:18:00,Delivered,55,UPI,712
ORD000073,CUST00331,REST0106,2024-01-16 19:10:00,2024-01-16 18:13:00,Delivered,57,UPI,698
ORD000074,CUST02754,REST0131,2025-11-07 20:31:00,2025-11-07 20:03:00,Delivered,28,UPI,806
ORD000075,CUST03320,REST0178,2025-07-28 12:42:00,2025-07-28 12:05:00,Delivered,37,Debit Card,136
ORD000076,CUST06021,REST0059,2024-10-24 14:12:00,2024-10-24 13:30:00,Delivered,42,Credit Card,349
ORD000077,CUST00165,REST0163,2024-04-10 22:56:00,2024-04-10 21:58:00,Delivered,58,Credit Card,204
ORD000078,CUST04938,REST0148,2024-05-22 19:40:00,2024-05-22 19:12:00,Delivered,28,UPI,360
ORD000079,CUST06189,REST0115,2025-08-03 22:00:00,2025-08-03 21:29:00,Delivered,31,Cash,310
ORD000080,CUST08827,REST0037,2025-06-23 19:02:00,2025-06-23 18:20:00,Delivered,42,UPI,143
ORD000081,CUST08065,REST0128,2024-01-29 21:47:00,2024-01-29 21:01:00,Delivered,46,UPI,612
ORD000082,CUST08109,REST0105,2025-08-17 19:02:00,2025-08-17 18:08:00,Delivered,54,Cash,801
ORD000083,CUST06212,REST0039,2025-02-16 20:22:00,2025-02-16 19:29:00,Delivered,53,UPI,496
ORD000084,CUST01768,REST0155,2024-04-19 13:44:00,2024-04-19 13:06:00,Delivered,38,Credit Card,840
ORD000085,CUST03873,REST0036,2025-08-21 20:10:00,2025-08-21 19:47:00,Delivered,23,UPI,360
ORD000086,CUST05398,REST0068,2024-08-16 22:09:00,2024-08-16 21:40:00,Delivered,29,UPI,1062
ORD000087,CUST06030,REST0182,2025-09-30 19:27:00,2025-09-30 19:07:00,Delivered,20,Cash,245
ORD000088,CUST09697,REST0067,2024-07-28 12:53:00,2024-07-28 12:01:00,Delivered,52,UPI,334
ORD000089,CUST03877,REST0163,2025-05-10 23:46:00,2025-05-10 22:52:00,Delivered,54,Credit Card,143
ORD000090,CUST07528,REST0089,2024-05-29 19:46:00,2024-05-29 19:11:00,Delivered,35,Debit Card,416
ORD000091,CUST02385,REST0110,2025-05-06 14:39:00,2025-05-06 13:42:00,Delivered,57,Credit Card,837
ORD000092,CUST07089,REST0146,2024-04-19 19:21:00,2024-04-19 18:52:00,Delivered,29,UPI,350
ORD000093,CUST07503,REST0006,2025-08-17 14:40:00,2025-08-17 13:41:00,Delivered,59,Cash,266
ORD000094,CUST04325,REST0188,2025-04-14 14:02:00,2025-04-14 13:10:00,Delivered,52,UPI,1413
ORD000095,CUST05061,REST0144,2025-06-09 12:23:00,2025-06-09 11:41:00,Delivered,42,Credit Card,290
ORD000096,CUST05569,REST0098,2025-11-05 14:15:00,2025-11-05 13:25:00,Delivered,50,UPI,178
ORD000097,CUST03732,REST0156,2025-12-26 22:42:00,2025-12-26 21:49:00,Delivered,53,Credit Card,328
ORD000098,CUST04593,REST0070,2025-08-21 19:47:00,2025-08-21 19:25:00,Delivered,22,Debit Card,252
ORD000099,CUST04833,REST0028,2025-05-26 22:04:00,2025-05-26 21:30:00,Preparing,34,Debit Card,768
ORD000100,CUST01952,REST0038,2024-06-27 21:10:00,2024-06-27 20:24:00,Cancelled,46,UPI,95
ORD000101,CUST08680,REST0016,2024-03-15 19:23:00,2024-03-15 18:23:00,Delivered,60,Wallet,44
ORD000102,CUST05734,REST0175,2025-04-05 15:35:00,2025-04-05 14:40:00,Delivered,55,UPI,370
ORD000103,CUST04931,REST0092,2024-07-25 21:20:00,2024-07-25 20:27:00,Delivered,53,UPI,399
ORD000104,CUST07123,REST0155,2025-11-15 12:30:00,2025-11-15 12:02:00,Delivered,28,UPI,59
ORD000105,CUST08263,REST0169,2024-03-14 14:36:00,2024-03-14 13:43:00,Delivered,53,Cash,522
ORD000106,CUST05212,REST0117,2024-12-26 15:25:00,2024-12-26 14:57:00,Delivered,28,UPI,251
ORD000107,CUST01921,REST0010,2025-08-05 12:29:00,2025-08-05 11:50:00,Delivered,39,UPI,263
ORD000108,CUST09101,REST0145,2024-12-04 12:28:00,2024-12-04 11:52:00,Delivered,36,UPI,897
ORD000109,CUST03188,REST0106,2024-03-17 20:08:00,2024-03-17 19:15:00,Cancelled,53,UPI,332
ORD000110,CUST03774,REST0169,2025-12-15 22:13:00,2025-12-15 21:37:00,Delivered,36,UPI,277
ORD000111,CUST03440,REST0060,2024-12-08 20:36:00,2024-12-08 20:03:00,Delivered,33,Debit Card,227
ORD000112,CUST07652,REST0081,2025-05-20 12:35:00,2025-05-20 11:36:00,Delivered,59,Debit Card,283
ORD000113,CUST07295,REST0018,2025-03-02 20:04:00,2025-03-02 19:39:00,Delivered,25,UPI,612
ORD000114,CUST07031,REST0007,2024-04-16 12:14:00,2024-04-16 11:32:00,Delivered,42,UPI,200
ORD000115,CUST03043,REST0009,2024-02-26 12:22:00,2024-02-26 11:50:00,Delivered,32,Cash,321
ORD000116,CUST07313,REST0118,2025-05-08 12:17:00,2025-05-08 11:49:00,Delivered,28,UPI,441
ORD000117,CUST06951,REST0168,2024-04-30 22:39:00,2024-04-30 21:57:00,Delivered,42,UPI,720
ORD000118,CUST07700,REST0067,2024-04-04 20:08:00,2024-04-04 19:14:00,Delivered,54,Wallet,591
ORD000119,CUST06651,REST0017,2024-03-19 12:06:00,2024-03-19 11:28:00,Delivered,38,UPI,251
ORD000120,CUST05919,REST0079,2024-05-12 19:57:00,2024-05-12 19:30:00,Delivered,27,UPI,75
ORD000121,CUST07747,REST0073,2025-05-21 20:26:00,2025-05-21 19:52:00,Delivered,34,UPI,522
ORD000122,CUST09732,REST0121,2025-10-31 14:37:00,2025-10-31 13:57:00,Delivered,40,UPI,147
ORD000123,CUST08555,REST0141,2025-12-23 21:56:00,2025-12-23 21:31:00,Delivered,25,UPI,432
ORD000124,CUST08024,REST0092,2024-11-08 20:56:00,2024-11-08 20:13:00,Delivered,43,Debit Card,296
ORD000125,CUST06796,REST0146,2025-03-26 19:50:00,2025-03-26 19:29:00,Delivered,21,UPI,216
ORD000126,CUST08696,REST0082,2024-11-03 20:42:00,2024-11-03 20:05:00,Delivered,37,UPI,504
ORD000127,CUST03372,REST0082,2025-03-30 11:44:00,2025-03-30 11:13:00,Delivered,31,UPI,202
ORD000128,CUST05551,REST0019,2025-07-08 21:57:00,2025-07-08 20:59:00,Delivered,58,UPI,522
ORD000129,CUST03262,REST0198,2025-08-28 14:00:00,2025-08-28 13:01:00,Delivered,59,UPI,410
ORD000130,CUST05365,REST0025,2025-07-20 15:24:00,2025-07-20 14:46:00,Delivered,38,Wallet,116
ORD000131,CUST03047,REST0099,2024-06-15 22:04:00,2024-06-15 21:29:00,Delivered,35,UPI,259
ORD000132,CUST04034,REST0076,2024-09-12 21:14:00,2024-09-12 20:18:00,Delivered,56,Credit Card,318
ORD000133,CUST08038,REST0098,2025-10-30 21:05:00,2025-10-30 20:38:00,Delivered,27,Credit Card,240
ORD000134,CUST00365,REST0045,2025-03-30 19:17:00,2025-03-30 18:28:00,Delivered,49,UPI,648
ORD000135,CUST06899,REST0091,2025-02-22 12:04:00,2025-02-22 11:05:00,Delivered,59,Wallet,717
ORD000136,CUST08548,REST0099,2024-10-09 14:05:00,2024-10-09 13:31:00,Delivered,34,UPI,280
ORD000137,CUST03425,REST0090,2024-04-27 20:03:00,2024-04-27 19:11:00,Delivered,52,Credit Card,180
ORD000138,CUST06153,REST0080,2024-03-03 21:37:00,2024-03-03 21:16:00,Delivered,21,Cash,87
ORD000139,CUST07350,REST0041,2025-09-06 13:58:00,2025-09-06 13:06:00,Delivered,52,UPI,912
ORD000140,CUST03945,REST0124,2025-08-07 15:38:00,2025-08-07 14:52:00,Delivered,46,UPI,146
ORD000141,CUST06744,REST0001,2024-11-30 20:09:00,2024-11-30 19:23:00,Delivered,46,UPI,585
ORD000142,CUST08773,REST0149,2024-02-01 12:31:00,2024-02-01 12:02:00,Cancelled,29,UPI,432
ORD000143,CUST07226,REST0108,2025-06-07 21:44:00,2025-06-07 20:47:00,Delivered,57,Wallet,219
ORD000144,CUST02328,REST0016,2025-11-03 20:49:00,2025-11-03 20:24:00,Preparing,25,Wallet,59
ORD000145,CUST00550,REST0169,2025-08-11 20:40:00,2025-08-11 19:46:00,Delivered,54,Cash,180
ORD000146,CUST08865,REST0181,2025-11-06 19:05:00,2025-11-06 18:28:00,Delivered,37,Credit Card,242
ORD000147,CUST07555,REST0123,2024-09-05 21:12:00,2024-09-05 20:23:00,Delivered,49,Wallet,882
ORD000148,CUST02363,REST0104,2025-02-23 15:14:00,2025-02-23 14:22:00,Delivered,52,UPI,90
ORD000149,CUST00233,REST0051,2025-04-04 20:42:00,2025-04-04 20:14:00,Cancelled,28,UPI,204
ORD000150,CUST03496,REST0136,2025-08-21 20:16:00,2025-08-21 19:38:00,Delivered,38,UPI,47
ORD000151,CUST00113,REST0200,2024-05-31 20:12:00,2024-05-31 19:40:00,Delivered,32,Cash,1224
ORD000152,CUST02610,REST0036,2025-03-04 14:25:00,2025-03-04 13:35:00,Delivered,50,UPI,280
ORD000153,CUST07674,REST0014,2025-12-07 12:56:00,2025-12-07 12:04:00,Delivered,52,Cash,346
ORD000154,CUST01691,REST0137,2024-05-10 15:13:00,2024-05-10 14:35:00,Delivered,38,Cash,555
ORD000155,CUST05021,REST0194,2025-09-15 20:10:00,2025-09-15 19:46:00,Delivered,24,UPI,289
ORD000156,CUST00245,REST0167,2025-03-22 13:58:00,2025-03-22 13:30:00,Delivered,28,Debit Card,870
ORD000157,CUST04251,REST0059,2024-06-04 22:20:00,2024-06-04 21:37:00,Delivered,43,UPI,189
ORD000158,CUST03374,REST0050,2025-06-04 20:43:00,2025-06-04 20:17:00,Delivered,26,UPI,207
ORD000159,CUST09086,REST0166,2024-10-19 13:51:00,2024-10-19 13:20:00,Preparing,31,UPI,831
ORD000160,CUST05808,REST0128,2025-06-15 14:36:00,2025-06-15 13:56:00,Delivered,40,UPI,795
ORD000161,CUST04778,REST0071,2025-05-13 19:34:00,2025-05-13 18:56:00,Cancelled,38,UPI,720
ORD000162,CUST01871,REST0090,2025-11-13 14:01:00,2025-11-13 13:06:00,Delivered,55,Debit Card,476
ORD000163,CUST09246,REST0003,2025-07-06 20:03:00,2025-07-06 19:12:00,Delivered,51,UPI,930
ORD000164,CUST07800,REST0125,2025-03-12 21:22:00,2025-03-12 20:33:00,Delivered,49,UPI,216
ORD000165,CUST01616,REST0150,2025-03-18 18:33:00,2025-03-18 18:05:00,Preparing,28,Debit Card,900
ORD000166,CUST07011,REST0177,2024-03-21 20:38:00,2024-03-21 20:14:00,Delivered,24,UPI,234
ORD000167,CUST06122,REST0018,2025-12-24 20:19:00,2025-12-24 19:57:00,Delivered,22,Wallet,227
ORD000168,CUST07709,REST0057,2024-07-13 21:42:00,2024-07-13 20:42:00,Delivered,60,Credit Card,585
ORD000169,CUST01894,REST0048,2025-08-23 14:46:00,2025-08-23 14:14:00,Delivered,32,UPI,687
ORD000170,CUST02544,REST0152,2024-10-16 13:05:00,2024-10-16 12:40:00,Preparing,25,Cash,131
ORD000171,CUST04690,REST0076,2025-03-20 12:08:00,2025-03-20 11:35:00,Delivered,33,UPI,546
ORD000172,CUST00110,REST0162,2025-10-08 20:30:00,2025-10-08 19:40:00,Delivered,50,Wallet,191
ORD000173,CUST07147,REST0105,2024-10-26 20:31:00,2024-10-26 19:31:00,Delivered,60,UPI,296
ORD000174,CUST03061,REST0038,2024-08-12 13:34:00,2024-08-12 12:56:00,Delivered,38,UPI,220
ORD000175,CUST09663,REST0038,2024-06-29 18:47:00,2024-06-29 18:20:00,Delivered,27,UPI,332
ORD000176,CUST07142,REST0182,2025-09-07 14:53:00,2025-09-07 14:15:00,Delivered,38,UPI,185
ORD000177,CUST09168,REST0017,2025-07-29 20:56:00,2025-07-29 20:16:00,Delivered,40,Debit Card,239
ORD000178,CUST08387,REST0108,2024-02-25 14:27:00,2024-02-25 13:46:00,Delivered,41,UPI,195
ORD000179,CUST00312,REST0080,2025-08-09 21:34:00,2025-08-09 20:34:00,Delivered,60,Wallet,43
ORD000180,CUST02563,REST0039,2025-09-11 20:30:00,2025-09-11 19:46:00,Delivered,44,Debit Card,288
ORD000181,CUST01477,REST0027,2025-11-01 12:07:00,2025-11-01 11:13:00,Delivered,54,UPI,444
ORD000182,CUST00732,REST0090,2024-10-24 21:39:00,2024-10-24 20:58:00,Delivered,41,Credit Card,158
ORD000183,CUST02502,REST0021,2024-01-21 21:25:00,2024-01-21 20:33:00,Delivered,52,UPI,570
ORD000184,CUST02065,REST0115,2024-01-25 14:24:00,2024-01-25 13:49:00,Delivered,35,Debit Card,132
ORD000185,CUST00980,REST0155,2025-02-14 13:24:00,2025-02-14 12:47:00,Delivered,37,UPI,156
ORD000186,CUST01392,REST0009,2024-01-16 21:03:00,2024-01-16 20:34:00,Delivered,29,Credit Card,273
ORD000187,CUST02848,REST0186,2025-09-12 21:37:00,2025-09-12 20:50:00,Delivered,47,UPI,474
ORD000188,CUST01002,REST0035,2024-04-12 14:31:00,2024-04-12 13:41:00,Delivered,50,UPI,1278
ORD000189,CUST02326,REST0200,2024-10-12 19:52:00,2024-10-12 18:58:00,Delivered,54,UPI,159
ORD000190,CUST09818,REST0132,2025-07-13 21:24:00,2025-07-13 20:28:00,Preparing,56,UPI,690
ORD000191,CUST05728,REST0158,2025-05-03 20:22:00,2025-05-03 19:41:00,Delivered,41,Credit Card,390
ORD000192,CUST00752,REST0200,2024-06-22 14:06:00,2024-06-22 13:31:00,Delivered,35,UPI,582
ORD000193,CUST05215,REST0092,2024-03-01 20:55:00,2024-03-01 20:16:00,Delivered,39,Cash,168
ORD000194,CUST07948,REST0176,2025-09-05 14:33:00,2025-09-05 14:00:00,Delivered,33,Debit Card,154
ORD000195,CUST07485,REST0109,2025-10-29 14:19:00,2025-10-29 13:29:00,Delivered,50,Cash,213
ORD000196,CUST01422,REST0025,2025-03-11 19:44:00,2025-03-11 19:24:00,Delivered,20,Debit Card,102
ORD000197,CUST04498,REST0167,2024-04-26 11:57:00,2024-04-26 11:27:00,Delivered,30,UPI,298
ORD000198,CUST09798,REST0138,2025-02-12 10:45:00,2025-02-12 10:07:00,Delivered,38,Cash,912
ORD000199,CUST03450,REST0124,2025-09-21 21:06:00,2025-09-21 20:36:00,Delivered,30,UPI,1071
ORD000200,CUST04515,REST0143,2025-09-11 14:10:00,2025-09-11 13:29:00,Cancelled,41,Debit Card,87
ORD000201,CUST07060,REST0046,2025-06-20 21:10:00,2025-06-20 20:30:00,Delivered,40,UPI,120
ORD000202,CUST05350,REST0114,2025-12-19 13:38:00,2025-12-19 12:44:00,Delivered,54,UPI,633
ORD000203,CUST02878,REST0130,2024-06-09 12:14:00,2024-06-09 11:40:00,Delivered,34,UPI,708
ORD000204,CUST01870,REST0121,2025-03-12 20:18:00,2025-03-12 19:19:00,Delivered,59,Wallet,214
ORD000205,CUST00001,REST0084,2024-03-20 19:39:00,2024-03-20 19:06:00,Delivered,33,UPI,831
ORD000206,CUST04648,REST0177,2025-06-18 20:30:00,2025-06-18 19:49:00,Delivered,41,Cash,147
ORD000207,CUST00498,REST0181,2024-08-02 13:23:00,2024-08-02 12:50:00,Delivered,33,Debit Card,537
ORD000208,CUST00575,REST0046,2025-05-01 20:43:00,2025-05-01 20:20:00,Delivered,23,Debit Card,92
ORD000209,CUST00627,REST0109,2024-11-05 19:02:00,2024-11-05 18:07:00,Delivered,55,Debit Card,194
ORD000210,CUST09890,REST0086,2024-11-15 20:45:00,2024-11-15 20:20:00,Delivered,25,Cash,90
ORD000211,CUST06117,REST0199,2024-10-11 21:48:00,2024-10-11 20:53:00,Delivered,55,Credit Card,73
ORD000212,CUST02864,REST0145,2025-03-21 19:54:00,2025-03-21 19:11:00,Delivered,43,Debit Card,256
ORD000213,CUST05403,REST0060,2025-09-23 20:42:00,2025-09-23 19:58:00,Delivered,44,Wallet,171
ORD000214,CUST09183,REST0167,2025-01-04 18:39:00,2025-01-04 18:00:00,Delivered,39,Cash,148
ORD000215,CUST00560,REST0154,2024-01-14 19:39:00,2024-01-14 19:02:00,Delivered,37,UPI,88
ORD000216,CUST07931,REST0098,2025-10-02 11:57:00,2025-10-02 11:36:00,Delivered,21,Wallet,74
ORD000217,CUST05736,REST0152,2024-06-26 19:49:00,2024-06-26 18:55:00,Delivered,54,UPI,49
ORD000218,CUST06569,REST0077,2024-05-14 13:20:00,2024-05-14 12:53:00,Delivered,27,Credit Card,68
ORD000219,CUST02524,REST0062,2025-07-11 14:53:00,2025-07-11 13:54:00,Delivered,59,UPI,478
ORD000220,CUST02986,REST0184,2024-06-22 22:20:00,2024-06-22 21:37:00,Delivered,43,Wallet,561
ORD000221,CUST01758,REST0174,2025-11-16 12:04:00,2025-11-16 11:12:00,Delivered,52,UPI,710
ORD000222,CUST01898,REST0016,2024-10-09 20:30:00,2024-10-09 19:44:00,Delivered,46,Debit Card,768
ORD000223,CUST05835,REST0101,2024-10-07 19:56:00,2024-10-07 19:07:00,Delivered,49,Credit Card,205
ORD000224,CUST04051,REST0044,2024-04-29 21:36:00,2024-04-29 21:11:00,Delivered,25,Credit Card,261
ORD000225,CUST05938,REST0160,2024-06-22 20:56:00,2024-06-22 20:13:00,Delivered,43,Cash,214
ORD000226,CUST02545,REST0115,2025-11-28 20:29:00,2025-11-28 19:57:00,Delivered,32,Debit Card,576
ORD000227,CUST06903,REST0162,2025-12-23 14:13:00,2025-12-23 13:17:00,Delivered,56,UPI,1041
ORD000228,CUST08154,REST0060,2024-06-30 23:04:00,2024-06-30 22:16:00,Delivered,48,UPI,348
ORD000229,CUST08134,REST0131,2025-10-19 19:23:00,2025-10-19 18:53:00,Delivered,30,Cash,59
ORD000230,CUST03406,REST0088,2025-12-20 19:19:00,2025-12-20 18:41:00,Delivered,38,Credit Card,702
ORD000231,CUST03721,REST0100,2024-04-02 18:46:00,2024-04-02 18:13:00,Delivered,33,UPI,490
ORD000232,CUST02196,REST0077,2025-05-01 13:20:00,2025-05-01 12:37:00,Delivered,43,Credit Card,356
ORD000233,CUST02046,REST0153,2025-12-19 12:42:00,2025-12-19 12:22:00,Delivered,20,UPI,612
ORD000234,CUST04719,REST0077,2025-01-01 14:00:00,2025-01-01 13:29:00,Delivered,31,UPI,702
ORD000235,CUST06888,REST0147,2025-02-12 18:58:00,2025-02-12 18:15:00,Delivered,43,UPI,168
ORD000236,CUST07588,REST0021,2024-08-27 21:49:00,2024-08-27 20:57:00,Delivered,52,UPI,368
ORD000237,CUST08030,REST0170,2025-08-30 12:11:00,2025-08-30 11:32:00,Delivered,39,Wallet,567
ORD000238,CUST08003,REST0061,2025-08-04 20:49:00,2025-08-04 20:08:00,Delivered,41,UPI,348
ORD000239,CUST02968,REST0198,2024-05-24 20:59:00,2024-05-24 20:29:00,Delivered,30,Credit Card,304
ORD000240,CUST09897,REST0121,2024-11-10 12:48:00,2024-11-10 12:15:00,Delivered,33,Debit Card,320
ORD000241,CUST04479,REST0198,2025-01-18 10:36:00,2025-01-18 10:10:00,Delivered,26,Credit Card,174
ORD000242,CUST06513,REST0196,2025-11-15 15:04:00,2025-11-15 14:29:00,Delivered,35,UPI,608
ORD000243,CUST07577,REST0198,2024-05-16 14:58:00,2024-05-16 14:20:00,Delivered,38,Debit Card,60
ORD000244,CUST08293,REST0163,2025-06-30 12:28:00,2025-06-30 11:31:00,Delivered,57,Cash,292
ORD000245,CUST06199,REST0086,2025-01-05 14:51:00,2025-01-05 13:52:00,Delivered,59,UPI,147
