order_id,item_id,quantity,item_price,line_total
ORD000025,ITEM00361,3,179,537
ORD000026,ITEM00434,3,192,576
ORD000026,ITEM00435,1,261,261
ORD000026,ITEM00436,3,240,720
ORD000026,ITEM00438,1,193,193
ORD000027,ITEM00786,3,289,867
ORD000027,ITEM00784,1,185,185
ORD000028,ITEM00322,3,156,468
ORD000029,ITEM00332,2,67,134
ORD000029,ITEM00335,1,83,83
ORD000029,ITEM00331,3,95,285
ORD000029,ITEM00333,1,297,297
ORD000030,ITEM00339,2,184,368
ORD000030,ITEM00338,1,150,150
ORD000030,ITEM00340,2,143,286
ORD000030,ITEM00341,3,149,447
ORD000031,ITEM00692,3,317,951
ORD000031,ITEM00696,1,66,66
ORD000032,ITEM00783,3,290,870
ORD000032,ITEM00782,2,324,648
ORD000032,ITEM00781,2,356,712
ORD000033,ITEM00313,2,349,698
ORD000033,ITEM00318,2,403,806
ORD000033,ITEM00314,2,68,136
ORD000034,ITEM00313,1,349,349
ORD000034,ITEM00314,3,68,204
ORD000034,ITEM00317,3,120,360
ORD000035,ITEM01009,2,155,310
ORD000036,ITEM00860,1,143,143
ORD000036,ITEM00864,2,306,612
ORD000036,ITEM00861,3,267,801
ORD000037,ITEM00244,2,248,496
ORD000037,ITEM00242,3,280,840
ORD000038,ITEM00451,2,180,360
ORD000039,ITEM01114,3,354,1062
ORD000039,ITEM01115,1,245,245
ORD000039,ITEM01112,2,167,334
ORD000039,ITEM01116,1,143,143
ORD000040,ITEM00263,2,208,416
ORD000040,ITEM00259,3,279,837
ORD000040,ITEM00262,2,175,350
ORD000041,ITEM00893,2,133,266
ORD000041,ITEM00894,3,471,1413
ORD000041,ITEM00890,2,145,290
ORD000041,ITEM00891,1,178,178
ORD000042,ITEM00176,1,328,328
ORD000042,ITEM00177,1,252,252
ORD000043,ITEM00398,3,256,768
ORD000044,ITEM00592,1,95,95
ORD000044,ITEM00593,1,44,44
ORD000044,ITEM00591,2,185,370
ORD000044,ITEM00594,3,133,399
ORD000045,ITEM00588,1,59,59
ORD000045,ITEM00583,3,174,522
ORD000045,ITEM00586,1,251,251
ORD000045,ITEM00584,1,263,263
ORD000046,ITEM00982,3,299,897
ORD000046,ITEM00980,1,332,332
ORD000046,ITEM00984,1,277,277
ORD000047,ITEM00727,1,227,227
ORD000047,ITEM00728,1,283,283
ORD000047,ITEM00729,3,204,612
ORD000048,ITEM00814,2,100,200
ORD000048,ITEM00815,3,107,321
ORD000048,ITEM00812,3,147,441
ORD000049,ITEM00436,3,240,720
ORD000050,ITEM00855,3,197,591
ORD000050,ITEM00853,1,251,251
ORD000051,ITEM00548,1,75,75
ORD000051,ITEM00550,3,174,522
ORD000051,ITEM00549,1,147,147
ORD000051,ITEM00552,2,216,432
ORD000052,ITEM00661,1,296,296
ORD000052,ITEM00666,2,108,216
ORD000053,ITEM00906,2,252,504
ORD000053,ITEM00902,1,202,202
ORD000053,ITEM00901,3,174,522
ORD000053,ITEM00904,2,205,410
ORD000054,ITEM00761,2,58,116
ORD000054,ITEM00762,1,259,259
ORD000055,ITEM00770,2,159,318
ORD000056,ITEM00721,1,240,240
ORD000056,ITEM00725,3,216,648
ORD000056,ITEM00726,3,239,717
ORD000057,ITEM00930,1,280,280
ORD000057,ITEM00926,3,60,180
ORD000057,ITEM00927,1,87,87
ORD000057,ITEM00925,3,304,912
ORD000058,ITEM01011,1,146,146
ORD000058,ITEM01012,3,195,585
ORD000058,ITEM01010,3,144,432
ORD000059,ITEM01089,3,73,219
ORD000059,ITEM01092,1,59,59
ORD000059,ITEM01090,2,90,180
ORD000059,ITEM01088,1,242,242
ORD000060,ITEM00179,3,294,882
ORD000060,ITEM00180,2,45,90
ORD000060,ITEM00178,2,102,204
ORD000061,ITEM00292,1,47,47
ORD000061,ITEM00293,3,408,1224
ORD000061,ITEM00290,2,140,280
ORD000062,ITEM00882,1,346,346
ORD000063,ITEM00784,3,185,555
ORD000063,ITEM00786,1,289,289
ORD000063,ITEM00783,3,290,870
ORD000063,ITEM00785,3,63,189
ORD000064,ITEM00633,3,69,207
ORD000065,ITEM00694,3,277,831
ORD000066,ITEM00723,3,265,795
ORD000066,ITEM00721,3,240,720
ORD000067,ITEM00236,2,238,476
ORD000068,ITEM00515,3,310,930
ORD000068,ITEM00512,3,72,216
ORD000068,ITEM00511,3,300,900
ORD000069,ITEM01130,3,78,234
ORD000070,ITEM01015,1,227,227
ORD000071,ITEM00765,3,195,585
ORD000071,ITEM00767,3,229,687
ORD000072,ITEM01004,1,131,131
ORD000072,ITEM01006,3,182,546
ORD000072,ITEM01008,1,191,191
ORD000072,ITEM01003,2,148,296
ORD000073,ITEM00631,2,110,220
ORD000073,ITEM00634,2,166,332
ORD000074,ITEM00784,1,185,185
ORD000075,ITEM01063,1,239,239
ORD000075,ITEM01068,1,195,195
ORD000075,ITEM01064,1,43,43
ORD000076,ITEM00353,2,144,288
ORD000076,ITEM00354,3,148,444
ORD000076,ITEM00350,1,158,158
ORD000076,ITEM00351,3,190,570
ORD000077,ITEM00973,3,44,132
ORD000077,ITEM00976,2,78,156
ORD000078,ITEM00885,1,273,273
ORD000079,ITEM00686,3,158,474
ORD000079,ITEM00688,3,426,1278
ORD000080,ITEM00217,1,159,159
ORD000081,ITEM00763,3,230,690
ORD000081,ITEM00765,2,195,390
ORD000082,ITEM00629,2,291,582
ORD000082,ITEM00628,2,84,168
ORD000082,ITEM00625,2,77,154
ORD000082,ITEM00626,3,71,213
ORD000083,ITEM00230,2,51,102
ORD000083,ITEM00232,1,298,298
ORD000084,ITEM00925,3,304,912
ORD000084,ITEM00929,3,357,1071
ORD000084,ITEM00927,1,87,87
ORD000084,ITEM00926,2,60,120
ORD000085,ITEM00212,3,211,633
ORD000085,ITEM00214,3,236,708
ORD000085,ITEM00213,1,214,214
ORD000085,ITEM00215,3,277,831
ORD000086,ITEM00408,1,147,147
ORD000086,ITEM00407,3,179,537
ORD000086,ITEM00406,1,92,92
ORD000086,ITEM00405,2,97,194
ORD000087,ITEM01090,1,90,90
ORD000087,ITEM01089,1,73,73
ORD000088,ITEM00398,1,256,256
ORD000088,ITEM00402,3,57,171
ORD000089,ITEM00978,2,74,148
ORD000089,ITEM00973,2,44,88
ORD000089,ITEM00977,1,74,74
ORD000089,ITEM00974,1,49,49
ORD000090,ITEM00532,1,68,68
ORD000091,ITEM00660,2,239,478
ORD000091,ITEM00657,3,187,561
ORD000091,ITEM00659,2,355,710
ORD000092,ITEM00875,3,256,768
ORD000092,ITEM00876,1,205,205
ORD000093,ITEM00032,1,261,261
ORD000094,ITEM01128,1,214,214
ORD000094,ITEM01126,3,192,576
ORD000095,ITEM00859,3,347,1041
ORD000096,ITEM00583,2,174,348
ORD000096,ITEM00588,1,59,59
ORD000096,ITEM00585,2,351,702
ORD000097,ITEM00933,2,245,490
ORD000098,ITEM00415,2,178,356
ORD000098,ITEM00416,3,204,612
ORD000098,ITEM00420,3,234,702
ORD000099,ITEM00164,2,84,168
ORD000100,ITEM00223,2,184,368
ORD000101,ITEM00092,3,189,567
ORD000101,ITEM00095,2,174,348
ORD000101,ITEM00093,2,152,304
ORD000102,ITEM01047,2,160,320
ORD000103,ITEM00547,1,174,174
ORD000104,ITEM00925,2,304,608
ORD000104,ITEM00926,1,60,60
ORD000105,ITEM01011,2,146,292
ORD000106,ITEM00700,1,147,147
ORD000107,ITEM00055,2,249,498
ORD000108,ITEM00870,1,244,244
ORD000108,ITEM00866,1,82,82
ORD000109,ITEM00636,1,66,66
ORD000109,ITEM00632,1,97,97
ORD000109,ITEM00635,2,108,216
ORD000110,ITEM01014,1,164,164
ORD000110,ITEM01009,3,155,465
ORD000110,ITEM01010,3,144,432
ORD000111,ITEM00359,2,268,536
ORD000111,ITEM00355,1,91,91
ORD000112,ITEM00486,2,311,622
ORD000112,ITEM00485,1,244,244
ORD000113,ITEM00103,2,295,590
ORD000114,ITEM00039,3,158,474
ORD000114,ITEM00037,1,158,158
ORD000114,ITEM00038,1,189,189
ORD000115,ITEM00054,3,214,642
ORD000115,ITEM00050,3,185,555
ORD000115,ITEM00051,3,106,318
ORD000116,ITEM00705,3,177,531
ORD000117,ITEM01008,3,191,573
ORD000117,ITEM01005,1,174,174
ORD000117,ITEM01003,1,148,148
ORD000118,ITEM00399,1,98,98
ORD000118,ITEM00397,1,328,328
ORD000118,ITEM00398,2,256,512
ORD000119,ITEM00099,3,244,732
ORD000120,ITEM00471,3,152,456
ORD000121,ITEM00437,2,273,546
ORD000121,ITEM00434,3,192,576
ORD000121,ITEM00435,3,261,783
ORD000122,ITEM00723,1,265,265
ORD000122,ITEM00725,1,216,216
ORD000122,ITEM00726,1,239,239
ORD000122,ITEM00721,2,240,480
ORD000123,ITEM00845,1,162,162
ORD000124,ITEM00548,1,75,75
ORD000124,ITEM00550,2,174,348
ORD000124,ITEM00547,2,174,348
ORD000125,ITEM00873,2,198,396
ORD000125,ITEM00875,1,256,256
ORD000125,ITEM00871,2,209,418
ORD000125,ITEM00876,1,205,205
ORD000126,ITEM00490,2,67,134
ORD000126,ITEM00489,2,153,306
ORD000126,ITEM00487,3,46,138
ORD000126,ITEM00492,2,57,114
ORD000127,ITEM00487,2,46,92
ORD000128,ITEM00110,2,174,348
ORD000128,ITEM00111,2,136,272
ORD000128,ITEM00109,1,171,171
ORD000129,ITEM01184,1,330,330
ORD000129,ITEM01185,1,252,252
ORD000129,ITEM01186,1,92,92
ORD000129,ITEM01187,1,266,266
ORD000130,ITEM00149,2,63,126
ORD000131,ITEM00592,1,95,95
ORD000131,ITEM00593,2,44,88
ORD000131,ITEM00590,1,142,142
ORD000132,ITEM00454,1,229,229
ORD000132,ITEM00453,2,176,352
ORD000133,ITEM00587,1,295,295
ORD000133,ITEM00583,3,174,522
ORD000133,ITEM00588,2,59,118
ORD000133,ITEM00586,2,251,502
ORD000134,ITEM00267,2,185,370
ORD000134,ITEM00265,1,211,211
ORD000135,ITEM00544,1,101,101
ORD000136,ITEM00593,3,44,132
ORD000136,ITEM00594,1,133,133
ORD000137,ITEM00539,3,154,462
ORD000137,ITEM00538,2,70,140
ORD000138,ITEM00479,1,226,226
ORD000138,ITEM00480,1,238,238
ORD000138,ITEM00478,3,206,618
ORD000139,ITEM00242,3,280,840
ORD000139,ITEM00244,1,248,248
ORD000139,ITEM00241,2,245,490
ORD000139,ITEM00246,3,166,498
ORD000140,ITEM00743,1,72,72
ORD000140,ITEM00744,2,374,748
ORD000141,ITEM00001,3,136,408
ORD000141,ITEM00004,1,233,233
ORD000142,ITEM00894,3,471,1413
ORD000142,ITEM00893,2,133,266
ORD000142,ITEM00892,2,187,374
ORD000143,ITEM00647,2,300,600
ORD000143,ITEM00643,2,297,594
ORD000143,ITEM00644,3,241,723
ORD000143,ITEM00645,2,268,536
ORD000144,ITEM00093,2,152,304
ORD000144,ITEM00095,1,174,174
ORD000144,ITEM00091,1,126,126
ORD000145,ITEM01014,1,164,164
ORD000145,ITEM01013,1,181,181
ORD000146,ITEM01081,1,232,232
ORD000146,ITEM01082,3,295,885
ORD000147,ITEM00736,3,276,828
ORD000147,ITEM00737,1,73,73
ORD000147,ITEM00735,1,50,50
ORD000147,ITEM00733,3,305,915
ORD000148,ITEM00624,2,80,160
ORD000148,ITEM00623,2,237,474
ORD000148,ITEM00621,1,369,369
ORD000148,ITEM00622,2,294,588
ORD000149,ITEM00302,2,177,354
ORD000149,ITEM00304,2,185,370
ORD000149,ITEM00301,3,218,654
ORD000150,ITEM00812,3,147,441
ORD000150,ITEM00811,3,151,453
ORD000150,ITEM00815,1,107,107
ORD000151,ITEM01199,3,79,237
ORD000151,ITEM01200,1,271,271
ORD000151,ITEM01197,2,49,98
ORD000151,ITEM01196,2,70,140
ORD000152,ITEM00214,3,236,708
ORD000153,ITEM00083,2,347,694
ORD000153,ITEM00081,1,75,75
ORD000153,ITEM00080,3,72,216
ORD000153,ITEM00082,1,243,243
ORD000154,ITEM00817,2,199,398
ORD000154,ITEM00821,1,165,165
ORD000155,ITEM01159,3,161,483
ORD000155,ITEM01162,3,47,141
ORD000155,ITEM01163,3,177,531
ORD000156,ITEM01000,3,124,372
ORD000156,ITEM00998,2,168,336
ORD000157,ITEM00354,3,148,444
ORD000158,ITEM00298,3,150,450
ORD000158,ITEM00296,3,98,294
ORD000158,ITEM00295,2,55,110
ORD000159,ITEM00995,2,146,292
ORD000159,ITEM00993,1,91,91
ORD000159,ITEM00991,3,30,90
ORD000160,ITEM00766,1,243,243
ORD000160,ITEM00763,1,230,230
ORD000160,ITEM00768,3,232,696
ORD000160,ITEM00765,2,195,390
ORD000161,ITEM00423,2,70,140
ORD000162,ITEM00535,3,87,261
ORD000162,ITEM00537,1,130,130
ORD000162,ITEM00536,3,101,303
ORD000163,ITEM00018,1,132,132
ORD000163,ITEM00014,3,39,117
ORD000163,ITEM00016,2,43,86
ORD000163,ITEM00017,3,73,219
ORD000164,ITEM00750,2,183,366
ORD000164,ITEM00746,1,147,147
ORD000165,ITEM00900,1,354,354
ORD000165,ITEM00896,3,252,756
ORD000165,ITEM00898,2,176,352
ORD000165,ITEM00899,2,89,178
ORD000166,ITEM01062,3,157,471
ORD000166,ITEM01060,3,77,231
ORD000167,ITEM00106,2,58,116
ORD000168,ITEM00342,3,154,462
ORD000169,ITEM00285,3,69,207
ORD000169,ITEM00287,3,44,132
ORD000169,ITEM00286,1,321,321
ORD000169,ITEM00283,2,102,204
ORD000170,ITEM00907,1,85,85
ORD000170,ITEM00908,3,93,279
ORD000170,ITEM00911,3,130,390
ORD000170,ITEM00909,1,134,134
ORD000171,ITEM00453,3,176,528
ORD000171,ITEM00451,2,180,360
ORD000171,ITEM00456,2,284,568
ORD000171,ITEM00454,2,229,458
ORD000172,ITEM00969,2,138,276
ORD000172,ITEM00970,2,336,672
ORD000172,ITEM00968,3,154,462
ORD000173,ITEM00627,2,272,544
ORD000173,ITEM00625,2,77,154
ORD000174,ITEM00226,3,76,228
ORD000174,ITEM00223,2,184,368
ORD000174,ITEM00228,3,376,1128
ORD000175,ITEM00226,3,76,228
ORD000175,ITEM00227,3,281,843
ORD000175,ITEM00223,3,184,552
ORD000175,ITEM00225,1,250,250
ORD000176,ITEM01089,2,73,146
ORD000176,ITEM01091,3,45,135
ORD000176,ITEM01090,3,90,270
ORD000176,ITEM01088,3,242,726
ORD000177,ITEM00102,2,271,542
ORD000177,ITEM00097,3,340,1020
ORD000177,ITEM00098,2,61,122
ORD000177,ITEM00099,1,244,244
ORD000178,ITEM00643,3,297,891
ORD000179,ITEM00478,2,206,412
ORD000179,ITEM00476,1,261,261
ORD000179,ITEM00475,3,233,699
ORD000180,ITEM00230,2,51,102
ORD000180,ITEM00229,3,105,315
ORD000181,ITEM00160,3,130,390
ORD000181,ITEM00162,3,156,468
ORD000182,ITEM00535,2,87,174
ORD000182,ITEM00537,1,130,130
ORD000183,ITEM00125,3,64,192
ORD000183,ITEM00124,3,177,531
ORD000183,ITEM00123,3,49,147
ORD000183,ITEM00121,2,60,120
ORD000184,ITEM00687,2,50,100
ORD000185,ITEM00925,1,304,304
ORD000185,ITEM00929,1,357,357
ORD000186,ITEM00054,3,214,642
ORD000186,ITEM00051,1,106,106
ORD000186,ITEM00053,1,66,66
ORD000187,ITEM01112,2,167,334
ORD000188,ITEM00209,3,173,519
ORD000188,ITEM00207,1,215,215
ORD000188,ITEM00205,1,258,258
ORD000188,ITEM00210,2,258,516
ORD000189,ITEM01195,3,340,1020
ORD000189,ITEM01200,1,271,271
ORD000190,ITEM00787,3,68,204
ORD000191,ITEM00946,3,129,387
ORD000191,ITEM00944,1,77,77
ORD000191,ITEM00948,3,66,198
ORD000191,ITEM00943,1,124,124
ORD000192,ITEM01200,1,271,271
ORD000192,ITEM01199,1,79,79
ORD000192,ITEM01196,2,70,140
ORD000193,ITEM00548,2,75,150
ORD000193,ITEM00552,2,216,432
ORD000193,ITEM00551,2,134,268
ORD000194,ITEM01051,2,212,424
ORD000194,ITEM01055,2,210,420
ORD000194,ITEM01054,3,262,786
ORD000194,ITEM01053,1,201,201
ORD000195,ITEM00653,2,305,610
ORD000195,ITEM00652,1,205,205
ORD000195,ITEM00654,3,276,828
ORD000195,ITEM00649,3,76,228
ORD000196,ITEM00149,2,63,126
ORD000197,ITEM01002,1,196,196
ORD000198,ITEM00824,1,136,136
ORD000198,ITEM00827,1,81,81
ORD000199,ITEM00740,2,78,156
ORD000199,ITEM00742,1,291,291
ORD000199,ITEM00743,3,72,216
ORD000199,ITEM00744,2,374,748
ORD000200,ITEM00855,2,197,394
ORD000200,ITEM00856,2,206,412
ORD000200,ITEM00853,3,251,753
ORD000201,ITEM00273,3,170,510
ORD000202,ITEM00682,2,344,688
ORD000202,ITEM00679,3,176,528
ORD000203,ITEM00777,1,97,97
ORD000203,ITEM00778,2,111,222
ORD000203,ITEM00776,3,136,408
ORD000204,ITEM00726,2,239,478
ORD000205,ITEM00504,2,322,644
ORD000206,ITEM01062,3,157,471
ORD000206,ITEM01061,1,80,80
ORD000206,ITEM01059,3,74,222
ORD000207,ITEM01081,2,232,464
ORD000207,ITEM01084,1,310,310
ORD000207,ITEM01086,1,55,55
ORD000207,ITEM01083,3,82,246
ORD000208,ITEM00273,1,170,170
ORD000208,ITEM00275,3,200,600
ORD000209,ITEM00652,2,205,410
ORD000209,ITEM00653,2,305,610
ORD000210,ITEM00515,3,310,930
ORD000210,ITEM00514,1,352,352
ORD000210,ITEM00512,1,72,72
ORD000211,ITEM01192,1,135,135
ORD000211,ITEM01194,1,142,142
ORD000211,ITEM01191,3,150,450
ORD000212,ITEM00865,1,77,77
ORD000213,ITEM00359,3,268,804
ORD000213,ITEM00356,3,321,963
ORD000213,ITEM00355,2,91,182
ORD000214,ITEM00998,2,168,336
ORD000214,ITEM01000,3,124,372
ORD000214,ITEM01001,1,157,157
ORD000214,ITEM01002,2,196,392
ORD000215,ITEM00922,3,137,411
ORD000215,ITEM00919,2,146,292
ORD000215,ITEM00923,2,56,112
ORD000215,ITEM00924,3,104,312
ORD000216,ITEM00585,2,351,702
ORD000216,ITEM00584,3,263,789
ORD000216,ITEM00587,2,295,590
ORD000216,ITEM00588,1,59,59
ORD000217,ITEM00908,1,93,93
ORD000217,ITEM00911,2,130,260
ORD000218,ITEM00459,1,482,482
ORD000218,ITEM00461,3,347,1041
ORD000219,ITEM00370,3,353,1059
ORD000220,ITEM01099,1,257,257
ORD000220,ITEM01104,2,69,138
ORD000220,ITEM01102,2,270,540
ORD000220,ITEM01101,1,88,88
ORD000221,ITEM01042,1,205,205
ORD000221,ITEM01043,3,214,642
ORD000221,ITEM01040,3,259,777
ORD000221,ITEM01039,1,253,253
ORD000222,ITEM00092,1,189,189
ORD000222,ITEM00093,3,152,456
ORD000222,ITEM00095,1,174,174
ORD000223,ITEM00601,3,209,627
ORD000223,ITEM00605,3,170,510
ORD000223,ITEM00604,2,262,524
ORD000223,ITEM00602,1,173,173
ORD000224,ITEM00260,3,196,588
ORD000224,ITEM00262,3,175,525
ORD000224,ITEM00264,2,259,518
ORD000225,ITEM00957,2,200,400
ORD000226,ITEM00690,3,160,480
ORD000226,ITEM00689,3,469,1407
ORD000226,ITEM00686,2,158,316
ORD000227,ITEM00972,3,166,498
ORD000228,ITEM00360,3,264,792
ORD000228,ITEM00358,2,77,154
ORD000229,ITEM00785,2,63,126
ORD000230,ITEM00528,1,73,73
ORD000230,ITEM00526,2,132,264
ORD000230,ITEM00525,3,178,534
ORD000231,ITEM00597,3,197,591
ORD000231,ITEM00598,1,203,203
ORD000231,ITEM00595,2,48,96
ORD000232,ITEM00462,2,133,266
ORD000232,ITEM00458,1,206,206
ORD000232,ITEM00457,3,80,240
ORD000232,ITEM00459,3,482,1446
ORD000233,ITEM00918,1,123,123
ORD000234,ITEM00462,3,133,399
ORD000234,ITEM00459,1,482,482
ORD000235,ITEM00877,1,330,330
ORD000236,ITEM00124,1,177,177
ORD000237,ITEM01019,3,264,792
ORD000237,ITEM01015,2,227,454
ORD000237,ITEM01020,3,215,645
ORD000237,ITEM01017,3,203,609
ORD000238,ITEM00363,3,59,177
ORD000239,ITEM01183,3,309,927
ORD000240,ITEM00722,2,253,506
ORD000240,ITEM00721,2,240,480
ORD000241,ITEM01188,3,70,210
ORD000241,ITEM01187,2,266,532
ORD000242,ITEM01175,1,177,177
ORD000242,ITEM01174,1,147,147
ORD000242,ITEM01171,1,133,133
ORD000243,ITEM01184,1,330,330
ORD000244,ITEM00973,2,44,88
ORD000244,ITEM00978,2,74,148
ORD000244,ITEM00974,2,49,98
ORD000245,ITEM00514,2,352,704
ORD000246,ITEM00287,3,44,132
ORD000247,ITEM00429,2,74,148
ORD000247,ITEM00428,1,347,347
ORD000248,ITEM00181,2,42,84
ORD000248,ITEM00185,3,112,336
ORD000249,ITEM00978,1,74,74
ORD000250,ITEM00614,1,95,95
ORD000250,ITEM00615,3,285,855
ORD000251,ITEM01106,1,170,170
ORD000251,ITEM01108,2,133,266
ORD000251,ITEM01107,1,192,192
ORD000251,ITEM01110,2,153,306
ORD000252,ITEM01142,3,249,747
ORD000252,ITEM01145,2,195,390
ORD000252,ITEM01146,1,230,230
ORD000252,ITEM01144,1,265,265
ORD000253,ITEM00528,3,73,219
ORD000253,ITEM00527,1,339,339
ORD000253,ITEM00525,1,178,178
ORD000253,ITEM00523,1,424,424
ORD000254,ITEM00907,2,85,170
ORD000255,ITEM00611,1,170,170
ORD000255,ITEM00609,2,86,172
ORD000256,ITEM00917,1,160,160
ORD000256,ITEM00918,3,123,369
ORD000256,ITEM00913,2,128,256
ORD000256,ITEM00914,2,176,352
ORD000257,ITEM01103,2,319,638
ORD000257,ITEM01104,1,69,69
ORD000257,ITEM01101,3,88,264
ORD000257,ITEM01099,1,257,257
ORD000258,ITEM00745,1,160,160
ORD000258,ITEM00746,1,147,147
ORD000258,ITEM00750,3,183,549
ORD000258,ITEM00748,1,182,182
ORD000259,ITEM01016,2,186,372
ORD000260,ITEM00904,3,205,615
ORD000260,ITEM00905,2,228,456
ORD000260,ITEM00902,2,202,404
ORD000260,ITEM00906,3,252,756
ORD000261,ITEM00556,3,86,258
ORD000261,ITEM00557,3,163,489
ORD000261,ITEM00554,1,82,82
ORD000261,ITEM00553,3,137,411
ORD000262,ITEM00544,2,101,202
ORD000262,ITEM00542,3,104,312
ORD000262,ITEM00546,2,61,122
ORD000263,ITEM00576,2,140,280
ORD000263,ITEM00573,3,109,327
ORD000264,ITEM00425,3,183,549
ORD000265,ITEM00118,3,234,702
ORD000266,ITEM00962,1,91,91
ORD000266,ITEM00966,2,263,526
ORD000266,ITEM00963,3,190,570
ORD000267,ITEM01137,2,143,286
ORD000267,ITEM01136,1,148,148
ORD000267,ITEM01135,3,168,504
ORD000267,ITEM01140,2,120,240
ORD000268,ITEM00129,2,268,536
ORD000269,ITEM00960,3,291,873
ORD000270,ITEM00963,3,190,570
ORD000270,ITEM00966,3,263,789
ORD000270,ITEM00965,1,285,285
ORD000271,ITEM00233,2,251,502
ORD000271,ITEM00230,3,51,153
ORD000271,ITEM00231,3,342,1026
ORD000271,ITEM00232,2,298,596
ORD000272,ITEM00678,3,136,408
ORD000272,ITEM00677,2,216,432
ORD000272,ITEM00673,2,189,378
ORD000272,ITEM00675,2,124,248
ORD000273,ITEM01132,1,106,106
ORD000273,ITEM01129,3,68,204
ORD000274,ITEM01182,2,133,266
ORD000275,ITEM00199,2,183,366
ORD000275,ITEM00200,2,197,394
ORD000276,ITEM00808,1,168,168
ORD000276,ITEM00805,1,167,167
ORD000277,ITEM01051,2,212,424
ORD000277,ITEM01053,1,201,201
ORD000278,ITEM00886,3,352,1056
ORD000278,ITEM00887,3,185,555
ORD000278,ITEM00883,1,262,262
ORD000279,ITEM01106,2,170,340
ORD000280,ITEM00917,2,160,320
ORD000280,ITEM00916,1,178,178
ORD000280,ITEM00914,2,176,352
ORD000281,ITEM00939,3,241,723
ORD000282,ITEM00627,3,272,816
ORD000282,ITEM00629,3,291,873
ORD000283,ITEM01120,3,315,945
ORD000283,ITEM01119,2,305,610
ORD000283,ITEM01118,1,89,89
ORD000284,ITEM00049,1,144,144
ORD000284,ITEM00052,3,199,597
ORD000285,ITEM00943,2,124,248
ORD000285,ITEM00947,2,155,310
ORD000285,ITEM00948,1,66,66
ORD000286,ITEM01163,3,177,531
ORD000286,ITEM01160,2,173,346
ORD000286,ITEM01164,2,99,198
ORD000287,ITEM00558,3,88,264
ORD000287,ITEM00553,1,137,137
ORD000288,ITEM00714,1,321,321
ORD000289,ITEM00266,3,216,648
ORD000289,ITEM00270,2,187,374
ORD000290,ITEM00640,2,304,608
ORD000290,ITEM00641,2,253,506
ORD000290,ITEM00639,3,105,315
ORD000290,ITEM00638,2,285,570
ORD000291,ITEM00635,3,108,324
ORD000291,ITEM00632,3,97,291
ORD000291,ITEM00631,1,110,110
ORD000291,ITEM00636,2,66,132
ORD000292,ITEM00759,3,104,312
ORD000292,ITEM00757,1,61,61
ORD000293,ITEM00886,1,352,352
ORD000293,ITEM00885,2,273,546
ORD000294,ITEM01135,3,168,504
ORD000294,ITEM01138,1,182,182
ORD000295,ITEM00958,2,166,332
ORD000295,ITEM00959,3,274,822
ORD000295,ITEM00955,2,298,596
ORD000296,ITEM00373,1,72,72
ORD000296,ITEM00375,1,66,66
ORD000296,ITEM00374,1,103,103
ORD000296,ITEM00378,2,304,608
ORD000297,ITEM01141,2,202,404
ORD000297,ITEM01143,2,193,386
ORD000297,ITEM01145,1,195,195
ORD000298,ITEM00378,1,304,304
ORD000298,ITEM00376,2,338,676
ORD000298,ITEM00377,1,41,41
ORD000298,ITEM00374,2,103,206
ORD000299,ITEM00720,3,229,687
ORD000299,ITEM00718,1,270,270
ORD000299,ITEM00717,1,86,86
